BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 } trainIterations = 10000, maxIterations = 300000, playIterations = 50000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
10000,1717,3076864,0,18807,0.34154,0.63714,0.02132,0.34898, 0.20616,0.61336,0.35332,0.03332,0.634502, -0.28968
20000,2030,3637760,0,20903,0.35086,0.62874,0.0204,0.358167, 0.27468,0.61076,0.3564,0.03284,0.631498, -0.31542
30000,2180,3906560,0,20808,0.35872,0.61976,0.02152,0.366609, 0.29008,0.61004,0.35808,0.03188,0.630129, -0.3226
40000,2273,4073216,0,20900,0.35388,0.6251,0.02102,0.361478, 0.28962,0.61282,0.35538,0.0318,0.632948, -0.30528
50000,2355,4220160,0,20817,0.36058,0.61764,0.02178,0.368608, 0.30734,0.6077,0.35906,0.03324,0.628594, -0.31596
60000,2436,4365312,0,21021,0.36292,0.61384,0.02324,0.371555, 0.33002,0.60452,0.36246,0.03302,0.625163, -0.34716
70000,2480,4444160,0,20789,0.35834,0.6193,0.02236,0.366536, 0.29892,0.61142,0.3553,0.03328,0.632469, -0.30494
80000,2529,4531968,0,20952,0.35674,0.62018,0.02308,0.365168, 0.31504,0.60522,0.361,0.03378,0.626379, -0.3327
90000,2565,4596480,0,20748,0.35662,0.62194,0.02144,0.364433, 0.29274,0.6124,0.35546,0.03214,0.632736, -0.30126
100000,2589,4639488,0,21005,0.35836,0.61968,0.02196,0.366406, 0.30702,0.61222,0.35464,0.03314,0.633204, -0.29924
110000,2614,4684288,0,20860,0.35722,0.6206,0.02218,0.365323, 0.30296,0.6083,0.3595,0.0322,0.628539, -0.3246
120000,2642,4734464,0,20975,0.35912,0.61914,0.02174,0.367101, 0.30418,0.60994,0.35776,0.0323,0.630299, -0.31148
130000,2660,4766720,0,20822,0.35814,0.6195,0.02236,0.366331, 0.3051,0.6137,0.3542,0.0321,0.634053, -0.28394
140000,2681,4804352,0,20915,0.36234,0.61526,0.0224,0.370642, 0.32548,0.60734,0.35972,0.03294,0.628027, -0.34086
150000,2708,4852736,0,20883,0.3603,0.61748,0.02222,0.368488, 0.32644,0.6079,0.35878,0.03332,0.628853, -0.32366
160000,2726,4884992,0,20951,0.3648,0.61498,0.02022,0.372328, 0.32888,0.60902,0.36066,0.03032,0.628063, -0.32288
170000,2747,4922624,0,20790,0.3632,0.61522,0.02158,0.371211, 0.33454,0.60942,0.35832,0.03226,0.629735, -0.31562
180000,2758,4942336,0,20971,0.36202,0.61486,0.02312,0.370588, 0.32998,0.60568,0.36102,0.0333,0.626544, -0.31476
190000,2772,4967424,0,20806,0.36006,0.6175,0.02244,0.368325, 0.31454,0.61134,0.35514,0.03352,0.632543, -0.31724
200000,2788,4996096,0,20916,0.36044,0.61756,0.022,0.368548, 0.31242,0.60744,0.35974,0.03282,0.628053, -0.31014
210000,2798,5014016,0,20930,0.36096,0.6168,0.02224,0.36917, 0.3154,0.60914,0.35824,0.03262,0.62968, -0.31704
220000,2810,5035520,0,20843,0.36336,0.61506,0.02158,0.371374, 0.31916,0.61048,0.35692,0.0326,0.631052, -0.32146
230000,2821,5055232,0,20826,0.36524,0.61184,0.02292,0.373808, 0.33226,0.60792,0.35824,0.03384,0.629213, -0.32208
240000,2826,5064192,0,20904,0.36162,0.6155,0.02288,0.370088, 0.31962,0.6061,0.36052,0.03338,0.62703, -0.33308
250000,2835,5080320,0,20823,0.36252,0.61498,0.0225,0.370864, 0.3241,0.60836,0.35814,0.0335,0.629446, -0.3094
260000,2840,5089280,0,20953,0.3661,0.61208,0.02182,0.374267, 0.3394,0.60804,0.35964,0.03232,0.628348, -0.3267
270000,2851,5108992,0,20860,0.36224,0.61414,0.02362,0.371003, 0.32598,0.60644,0.35878,0.03478,0.628292, -0.32496
280000,2857,5119744,0,21042,0.36312,0.6133,0.02358,0.371889, 0.33408,0.60788,0.35778,0.03434,0.629497, -0.31712
290000,2863,5130496,0,20917,0.36262,0.61546,0.02192,0.370747, 0.31596,0.60704,0.36026,0.0327,0.627561, -0.31816
