BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 5 } trainIterations = 10000, maxIterations = 300000, playIterations = 50000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
10000,1736,80994816,0,122695,0.33618,0.64646,0.01736,0.342119, 0.77084,0.61106,0.35822,0.03072,0.630427, -1.12526
20000,2037,95038272,0,97290,0.35364,0.62824,0.01812,0.360166, 1.07534,0.60866,0.36274,0.0286,0.62658, -1.195
30000,2192,102269952,0,91164,0.35728,0.62364,0.01908,0.36423, 1.12712,0.6072,0.36326,0.02954,0.625683, -1.20868
40000,2300,107308800,0,98258,0.35946,0.62096,0.01958,0.366639, 1.1265,0.60804,0.36086,0.0311,0.627557, -1.18794
50000,2359,110061504,0,99522,0.36526,0.61384,0.0209,0.373057, 1.29274,0.60314,0.3649,0.03196,0.623053, -1.2784
60000,2424,113094144,0,98600,0.36226,0.61884,0.0189,0.369239, 1.26468,0.6059,0.36532,0.02878,0.623855, -1.3426
70000,2481,115753536,0,98272,0.36442,0.61646,0.01912,0.371524, 1.24094,0.60504,0.36544,0.02952,0.623444, -1.22202
80000,2531,118086336,0,60275,0.36212,0.61702,0.02086,0.369835, 1.1956,0.60398,0.36484,0.03118,0.623418, -1.26536
90000,2571,119952576,0,25285,0.3688,0.611,0.0202,0.376403, 1.3509,0.60442,0.36482,0.03076,0.623602, -1.29126
100000,2604,121492224,0,24279,0.36872,0.61092,0.02036,0.376383, 1.275,0.60516,0.36342,0.03142,0.624791, -1.2339
110000,2628,122611968,0,24388,0.36964,0.60998,0.02038,0.37733, 1.36974,0.60752,0.36084,0.03164,0.62737, -1.16276
120000,2651,123685056,0,37499,0.36488,0.61532,0.0198,0.372251, 1.2827,0.60124,0.3688,0.02996,0.61981, -1.38684
130000,2675,124804800,0,107789,0.36836,0.6117,0.01994,0.375855, 1.30852,0.60288,0.36664,0.03048,0.621834, -1.35792
140000,2706,126251136,0,90892,0.3685,0.61114,0.02036,0.376159, 1.25246,0.60754,0.3611,0.03136,0.627209, -1.28838
150000,2718,126811008,0,104793,0.36926,0.61094,0.0198,0.376719, 1.34952,0.60434,0.36556,0.0301,0.623095, -1.28392
160000,2738,127744128,0,104793,0.36854,0.61126,0.0202,0.376138, 1.33636,0.60182,0.3675,0.03068,0.620868, -1.34438
170000,2754,128490624,0,110682,0.3674,0.61346,0.01914,0.374569, 1.26934,0.60678,0.36398,0.02924,0.625057, -1.27928
180000,2773,129377088,0,39310,0.36716,0.61206,0.02078,0.374951, 1.26674,0.60614,0.36282,0.03104,0.625557, -1.13632
190000,2786,129983616,0,90064,0.36956,0.61086,0.01958,0.37694, 1.32218,0.60434,0.36492,0.03074,0.623507, -1.22408
200000,2798,130543488,0,100561,0.3714,0.60864,0.01996,0.378964, 1.40924,0.60436,0.36564,0.03,0.623052, -1.28246
210000,2813,131243328,0,95941,0.37048,0.608,0.02152,0.378628, 1.34208,0.60226,0.36612,0.03162,0.621925, -1.28474
220000,2828,131943168,0,86755,0.37002,0.60974,0.02024,0.377664, 1.28034,0.60538,0.3641,0.03052,0.624438, -1.23902
230000,2842,132596352,0,82311,0.37176,0.60914,0.0191,0.378999, 1.35896,0.60362,0.36658,0.0298,0.62216, -1.30648
240000,2855,133202880,0,85749,0.37008,0.60952,0.0204,0.377787, 1.31748,0.60304,0.367,0.02996,0.621665, -1.27168
250000,2863,133576128,0,99732,0.37094,0.60838,0.02068,0.378773, 1.37308,0.60158,0.36774,0.03068,0.620621, -1.31936
260000,2873,134042688,0,61150,0.37034,0.60904,0.02062,0.378137, 1.29136,0.60382,0.36484,0.03134,0.623356, -1.27086
270000,2880,134369280,0,53493,0.3723,0.60778,0.01992,0.379867, 1.34414,0.6017,0.36804,0.03026,0.620476, -1.36638
280000,2884,134555904,0,64721,0.36904,0.60982,0.02114,0.37701, 1.31868,0.60266,0.36622,0.03112,0.622017, -1.30952
290000,2897,135162432,0,103275,0.37124,0.6082,0.02056,0.379033, 1.27876,0.60604,0.36328,0.03068,0.625222, -1.2093
