BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 5 10 } trainIterations = 10000, maxIterations = 300000, playIterations = 50000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
10000,1724,819134464,0,136946,0.35868,0.6245,0.01682,0.364816, 1.69658,0.59414,0.37732,0.02854,0.611595, -2.59006
20000,2057,977354752,0,156482,0.37458,0.60626,0.01916,0.381897, 2.33722,0.59076,0.37926,0.02998,0.609018, -2.60668
30000,2203,1046724608,0,144789,0.37904,0.60162,0.01934,0.386515, 2.46588,0.59006,0.38,0.02994,0.608272, -2.6266
40000,2304,1094713344,0,131891,0.37822,0.6021,0.01968,0.385813, 2.4089,0.58826,0.38096,0.03078,0.606942, -2.54982
50000,2375,1128448000,0,139341,0.382,0.5983,0.0197,0.389677, 2.5745,0.58758,0.38168,0.03074,0.606215, -2.7076
60000,2444,1161232384,0,137462,0.38498,0.59494,0.02008,0.392869, 2.71982,0.58548,0.38326,0.03126,0.604373, -2.76494
70000,2500,1187840000,0,91116,0.37948,0.59922,0.0213,0.387739, 2.43436,0.59358,0.37512,0.0313,0.612759, -2.32016
80000,2534,1203994624,0,95482,0.3878,0.59222,0.01998,0.395706, 2.74464,0.59098,0.37924,0.02978,0.60912, -2.57012
90000,2577,1224425472,0,129106,0.38728,0.59308,0.01964,0.395039, 2.61454,0.58572,0.384,0.03028,0.604009, -2.68172
100000,2604,1237254144,0,85811,0.38406,0.59516,0.02078,0.39221, 2.57366,0.58754,0.38044,0.03202,0.606975, -2.69664
110000,2626,1247707136,0,121484,0.38772,0.59174,0.02054,0.395851, 2.78832,0.59272,0.37742,0.02986,0.610963, -2.48748
120000,2644,1256259584,0,92599,0.38734,0.5923,0.02036,0.39539, 2.55942,0.58742,0.38172,0.03086,0.606125, -2.5154
130000,2671,1269088256,0,74581,0.37888,0.5992,0.02192,0.387371, 2.47486,0.58846,0.37892,0.03262,0.608303, -2.41308
140000,2688,1277165568,0,89238,0.38734,0.59162,0.02104,0.395665, 2.76688,0.58866,0.38024,0.0311,0.607555, -2.61758
150000,2709,1287143424,0,103467,0.38898,0.5914,0.01962,0.396765, 2.70406,0.58612,0.38308,0.0308,0.604746, -2.66928
160000,2725,1294745600,0,119774,0.38702,0.59268,0.0203,0.395039, 2.67704,0.5865,0.3829,0.0306,0.605013, -2.73092
170000,2742,1302822912,0,40945,0.38496,0.59416,0.02088,0.393169, 2.71738,0.58708,0.38156,0.03136,0.606087, -2.71444
180000,2756,1309474816,0,43025,0.38534,0.59442,0.02024,0.3933, 2.66058,0.58956,0.3805,0.02994,0.607756, -2.52742
190000,2767,1314701312,0,42817,0.38538,0.5936,0.02102,0.393655, 2.66482,0.58728,0.38114,0.03158,0.606431, -2.64482
200000,2783,1322303488,0,42816,0.38706,0.59156,0.02138,0.395516, 2.78934,0.5858,0.3819,0.0323,0.605353, -2.63982
210000,2792,1326579712,0,42733,0.3861,0.59354,0.02036,0.394124, 2.63606,0.58984,0.37978,0.03038,0.608321, -2.73026
220000,2799,1329905664,0,42859,0.38878,0.58984,0.02138,0.397274, 2.80746,0.58522,0.38276,0.03202,0.604579, -2.74076
230000,2808,1334181888,0,42788,0.38904,0.58914,0.02182,0.397718, 2.87966,0.58528,0.38278,0.03194,0.604591, -2.74706
240000,2811,1335607296,0,42734,0.38508,0.59444,0.02048,0.393131, 2.45308,0.58896,0.37984,0.0312,0.607927, -2.39362
250000,2820,1339883520,0,42681,0.3875,0.59226,0.02024,0.395505, 2.67602,0.58804,0.38126,0.0307,0.606665, -2.54316
260000,2830,1344634880,0,42722,0.38456,0.59446,0.02098,0.392801, 2.58754,0.58592,0.38186,0.03222,0.605427, -2.65848
270000,2834,1346535424,0,42789,0.38972,0.58952,0.02076,0.397982, 2.8009,0.58958,0.37846,0.03196,0.609045, -2.57294
280000,2843,1350811648,0,42690,0.38806,0.59168,0.02026,0.396085, 2.4788,0.58608,0.38272,0.0312,0.604955, -2.58254
290000,2853,1355563008,0,42895,0.38688,0.59182,0.0213,0.3953, 2.65632,0.5868,0.3813,0.0319,0.606136, -2.51174
