BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 5 10 25 } trainIterations = 10000, maxIterations = 300000, playIterations = 50000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
10000,1713,4924875000,0,147043,0.36406,0.61782,0.01812,0.370779, 3.33714,0.58526,0.38492,0.02982,0.603249, -5.65674
20000,2011,5781625000,0,150027,0.37964,0.60076,0.0196,0.38723, 5.03268,0.5845,0.38424,0.03126,0.603361, -5.30688
30000,2168,6233000000,0,149553,0.3814,0.59812,0.02048,0.389374, 4.95416,0.58296,0.38542,0.03162,0.601995, -5.47776
40000,2272,6532000000,0,148605,0.3847,0.59422,0.02108,0.392984, 5.3178,0.5823,0.38602,0.03168,0.601351, -5.51492
50000,2354,6767750000,0,148442,0.38282,0.5976,0.01958,0.390465, 5.05728,0.5839,0.38528,0.03082,0.602468, -5.42806
60000,2425,6971875000,0,148744,0.38306,0.59628,0.02066,0.391141, 5.3068,0.58178,0.38666,0.03156,0.600739, -5.6801
70000,2480,7130000000,0,148011,0.3902,0.58912,0.02068,0.39844, 5.63186,0.57912,0.39,0.03088,0.597573, -5.7039
80000,2524,7256500000,0,149371,0.39044,0.58982,0.01974,0.398302, 5.81246,0.58122,0.38864,0.03014,0.599282, -5.561
90000,2564,7371500000,0,149964,0.38732,0.59084,0.02184,0.395968, 5.41826,0.58358,0.38394,0.03248,0.603171, -5.55954
100000,2601,7477875000,0,150276,0.39118,0.58822,0.0206,0.399408, 5.50588,0.58166,0.38714,0.0312,0.600392, -5.4516
110000,2629,7558375000,0,157285,0.39174,0.58716,0.0211,0.400184, 5.83506,0.58254,0.38624,0.03122,0.601313, -5.64006
120000,2657,7638875000,0,166406,0.39004,0.5886,0.02136,0.398553, 5.86776,0.57952,0.38854,0.03194,0.598641, -6.10294
130000,2680,7705000000,0,166021,0.39092,0.58748,0.0216,0.39955, 5.73342,0.5797,0.38744,0.03286,0.599396, -5.57522
140000,2701,7765375000,0,167842,0.39108,0.58786,0.02106,0.399493, 5.57724,0.58486,0.38372,0.03142,0.603832, -5.34932
150000,2722,7825750000,0,148880,0.3942,0.586,0.0198,0.402163, 5.8965,0.58458,0.38536,0.03006,0.602697, -5.46904
160000,2752,7912000000,0,161230,0.3897,0.58948,0.02082,0.397986, 5.59422,0.58254,0.3864,0.03106,0.601214, -5.67932
170000,2767,7955125000,0,167392,0.39082,0.5877,0.02148,0.399399, 5.75976,0.58088,0.38772,0.0314,0.599711, -5.53356
180000,2778,7986750000,0,166260,0.39328,0.58428,0.02244,0.402308, 5.96766,0.58072,0.38606,0.03322,0.600674, -5.66474
190000,2795,8035625000,0,166597,0.38956,0.58902,0.02142,0.398087, 5.53182,0.5815,0.38666,0.03184,0.600624, -5.46978
200000,2808,8073000000,0,164508,0.3931,0.58514,0.02176,0.401844, 5.913,0.57796,0.38938,0.03266,0.597474, -5.7668
210000,2817,8098875000,0,150970,0.39312,0.58612,0.02076,0.401454, 6.3431,0.57678,0.39172,0.0315,0.59554, -6.14108
220000,2826,8124750000,0,167575,0.39262,0.58636,0.02102,0.40105, 5.69658,0.58396,0.38522,0.03082,0.60253, -5.46062
230000,2837,8156375000,0,166466,0.38922,0.5885,0.02228,0.398089, 5.47128,0.5843,0.38308,0.03262,0.604003, -5.41816
240000,2847,8185125000,0,167514,0.3943,0.58386,0.02184,0.403104, 5.89928,0.58192,0.38572,0.03236,0.601381, -5.47576
250000,2855,8208125000,0,163023,0.3889,0.58986,0.02124,0.397339, 5.6484,0.57844,0.38982,0.03174,0.597401, -5.87894
260000,2862,8228250000,0,167394,0.39384,0.5843,0.02186,0.402642, 5.93576,0.5806,0.38634,0.03306,0.600451, -5.78368
270000,2864,8234000000,0,165744,0.3922,0.58632,0.02148,0.400809, 6.14676,0.5786,0.38968,0.03172,0.597554, -5.90862
280000,2869,8248375000,0,165509,0.38994,0.58934,0.02072,0.39819, 5.4693,0.58404,0.38432,0.03164,0.603123, -5.10148
290000,2878,8274250000,0,146192,0.39402,0.5854,0.02058,0.402299, 6.02872,0.58208,0.38658,0.03134,0.600913, -5.5229
