BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 5 10 25 } trainIterations = 1000, maxIterations = 100000, playIterations = 30000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
1000,751,2159125000,0,14032,0.1867,0.806867,0.00643333,0.187909, -4.42263,0.602033,0.375133,0.0228333,0.616101, -7.73243
2000,996,2863500000,0,12436,0.2622,0.726233,0.0115667,0.265268, -2.49727,0.5907,0.3834,0.0259,0.606406, -6.09427
3000,1182,3398250000,0,13109,0.301533,0.685667,0.0128,0.305443, -1.00727,0.5885,0.3835,0.028,0.605453, -6.1725
4000,1293,3717375000,0,12529,0.3272,0.657133,0.0156667,0.332408, 1.4383,0.584267,0.387267,0.0284667,0.601386, -6.01173
5000,1393,4004875000,0,12135,0.3337,0.650133,0.0161667,0.339183, 1.29983,0.589867,0.382,0.0281333,0.606942, -5.58393
6000,1488,4278000000,0,12031,0.349833,0.633833,0.0163333,0.355642, 2.78923,0.586133,0.3847,0.0291667,0.603742, -5.78547
7000,1561,4487875000,0,12095,0.348067,0.6342,0.0177333,0.35435, 2.4808,0.5898,0.379533,0.0306667,0.608459, -5.48417
8000,1628,4680500000,0,11769,0.3476,0.633933,0.0184667,0.35414, 2.5728,0.585233,0.383867,0.0309,0.603894, -5.66723
9000,1680,4830000000,0,11997,0.358567,0.624067,0.0173667,0.364904, 3.68523,0.5835,0.387367,0.0291333,0.601009, -5.87617
10000,1723,4953625000,0,12010,0.357233,0.6244,0.0183667,0.363917, 3.19377,0.589567,0.380133,0.0303,0.607989, -5.52213
11000,1759,5057125000,0,11802,0.3645,0.616167,0.0193333,0.371686, 4.16167,0.580367,0.3878,0.0318333,0.599449, -6.1885
12000,1793,5154875000,0,12108,0.3691,0.611833,0.0190667,0.376274, 4.1202,0.5869,0.3822,0.0309,0.605613, -5.8363
13000,1827,5252625000,0,16003,0.368367,0.611767,0.0198667,0.375833, 4.2464,0.584933,0.3838,0.0312667,0.603813, -5.88667
14000,1858,5341750000,0,15796,0.367133,0.6144,0.0184667,0.374041, 4.05897,0.586667,0.383,0.0303333,0.605019, -5.72593
15000,1893,5442375000,0,12448,0.3665,0.615,0.0185,0.373408, 3.854,0.5894,0.379933,0.0306667,0.608047, -5.424
16000,1912,5497000000,0,11984,0.366733,0.615667,0.0176,0.373303, 3.6608,0.590333,0.380033,0.0296333,0.608361, -4.73377
17000,1933,5557375000,0,11887,0.372933,0.608267,0.0188,0.380079, 4.41267,0.5855,0.3842,0.0303,0.603795, -5.5093
18000,1953,5614875000,0,12663,0.377233,0.6045,0.0182667,0.384252, 4.36217,0.590067,0.379467,0.0304667,0.608609, -5.16913
19000,1984,5704000000,0,16072,0.374067,0.606667,0.0192667,0.381415, 3.89073,0.5856,0.3827,0.0317,0.604771, -5.36047
20000,2005,5764375000,0,15852,0.375933,0.604233,0.0198333,0.38354, 4.67673,0.590133,0.379967,0.0299,0.608322, -5.11157
21000,2021,5810375000,0,15723,0.3838,0.596233,0.0199667,0.391619, 5.31977,0.5826,0.386,0.0314,0.601487, -6.1098
22000,2035,5850625000,0,15916,0.375367,0.604667,0.0199667,0.383014, 4.39057,0.586933,0.381667,0.0314,0.60596, -5.46717
23000,2059,5919625000,0,15679,0.372367,0.606867,0.0207667,0.380263, 4.50157,0.587733,0.3811,0.0311667,0.60664, -5.2687
24000,2074,5962750000,0,16193,0.379933,0.601667,0.0184,0.387055, 5.01377,0.5803,0.3905,0.0292,0.597754, -5.76293
25000,2086,5997250000,0,16094,0.383033,0.597633,0.0193333,0.390585, 5.1563,0.588133,0.381,0.0308667,0.606865, -5.42193
26000,2110,6066250000,0,16340,0.3777,0.600533,0.0217667,0.386104, 4.90297,0.5845,0.382133,0.0333667,0.604676, -5.52617
27000,2122,6100750000,0,16260,0.3794,0.599833,0.0207667,0.387446, 4.90223,0.584233,0.3836,0.0321667,0.603651, -5.0897
28000,2134,6135250000,0,16223,0.380967,0.597967,0.0210667,0.389165, 5.09513,0.579867,0.388,0.0321333,0.599118, -5.83353
29000,2145,6166875000,0,16231,0.3814,0.598333,0.0202667,0.38929, 5.20677,0.5866,0.3824,0.031,0.605366, -5.23227
30000,2164,6221500000,0,15928,0.385667,0.593667,0.0206667,0.393805, 5.7037,0.579133,0.388967,0.0319,0.598216, -6.24533
31000,2178,6261750000,0,16304,0.380133,0.599667,0.0202,0.38797, 5.40373,0.588,0.3815,0.0305,0.606498, -5.31923
32000,2187,6287625000,0,15504,0.3832,0.595333,0.0214667,0.391606, 5.5188,0.583633,0.384767,0.0316,0.602678, -5.7124
33000,2195,6310625000,0,15944,0.382333,0.598067,0.0196,0.389977, 4.97327,0.581367,0.3891,0.0295333,0.599059, -5.63307
34000,2210,6353750000,0,16922,0.378033,0.6009,0.0210667,0.386169, 4.43773,0.591867,0.376067,0.0320667,0.611475, -5.24977
35000,2222,6388250000,0,16029,0.379033,0.600133,0.0208333,0.387098, 4.77527,0.5861,0.383033,0.0308667,0.604767, -5.43777
36000,2234,6422750000,0,16420,0.3846,0.595767,0.0196333,0.392302, 4.99443,0.582833,0.386533,0.0306333,0.601252, -5.55567
37000,2249,6465875000,0,15900,0.386667,0.5926,0.0207333,0.394853, 5.65803,0.587533,0.381167,0.0313,0.606517, -5.62467
38000,2257,6488875000,0,16141,0.382333,0.598367,0.0193,0.389858, 5.0104,0.5826,0.387067,0.0303333,0.600825, -5.7033
39000,2270,6526250000,0,15902,0.386167,0.5941,0.0197333,0.39394, 5.64733,0.584833,0.384433,0.0307333,0.603377, -5.73833
40000,2282,6560750000,0,16147,0.384233,0.595267,0.0205,0.392275, 5.07793,0.581433,0.387733,0.0308333,0.599931, -5.62627
41000,2294,6595250000,0,16115,0.3854,0.593133,0.0214667,0.393855, 5.43483,0.583233,0.383967,0.0328,0.603012, -5.5534
42000,2301,6615375000,0,15643,0.3852,0.595,0.0198,0.392981, 5.32387,0.59,0.379267,0.0307333,0.608708, -4.9267
43000,2312,6647000000,0,19167,0.384633,0.595133,0.0202333,0.392576, 5.34293,0.582867,0.3857,0.0314333,0.601783, -5.7974
44000,2320,6670000000,0,15458,0.3831,0.5959,0.021,0.391318, 5.28383,0.582433,0.385167,0.0324,0.601936, -5.66973
45000,2329,6695875000,0,16431,0.3845,0.5967,0.0188,0.391867, 5.0523,0.584333,0.3848,0.0308667,0.602944, -5.51953
46000,2335,6713125000,0,15507,0.388767,0.5909,0.0203333,0.396836, 5.62897,0.582033,0.387067,0.0309,0.600592, -5.7653
47000,2346,6744750000,0,16285,0.3842,0.595467,0.0203333,0.392174, 5.2898,0.584033,0.384,0.0319667,0.603319, -5.55923
48000,2357,6776375000,0,16787,0.384067,0.594533,0.0214,0.392465, 5.1521,0.5831,0.384733,0.0321667,0.60248, -5.7745
49000,2363,6793625000,0,15922,0.382933,0.595833,0.0212333,0.391241, 4.90753,0.581267,0.387233,0.0315,0.600172, -5.88027
50000,2376,6831000000,0,16779,0.391067,0.5897,0.0192333,0.398736, 5.55613,0.585433,0.384367,0.0302,0.603664, -5.69443
51000,2381,6845375000,0,12065,0.387333,0.593033,0.0196333,0.39509, 5.5668,0.578933,0.390267,0.0308,0.597331, -5.978
52000,2390,6871250000,0,11465,0.387,0.5928,0.0202,0.394979, 5.5441,0.5831,0.385733,0.0311667,0.601858, -5.7795
53000,2395,6885625000,0,12117,0.382767,0.596033,0.0212,0.391057, 4.91687,0.581167,0.3868,0.0320333,0.600399, -5.68613
54000,2405,6914375000,0,12491,0.3928,0.586233,0.0209667,0.401212, 6.1337,0.581233,0.386933,0.0318333,0.600344, -5.75407
55000,2412,6934500000,0,16728,0.384767,0.5938,0.0214333,0.393194, 5.148,0.582533,0.3851,0.0323667,0.602019, -5.39373
56000,2417,6948875000,0,15924,0.391767,0.587367,0.0208667,0.400116, 5.98823,0.5832,0.386167,0.0306333,0.60163, -5.8098
57000,2423,6966125000,0,13297,0.385767,0.5934,0.0208333,0.393974, 5.61757,0.5827,0.384967,0.0323333,0.60217, -5.54137
58000,2436,7003500000,0,12734,0.388233,0.590967,0.0208,0.39648, 5.4942,0.586567,0.3821,0.0313333,0.60554, -5.54077
59000,2443,7023625000,0,12279,0.394367,0.5862,0.0194333,0.402182, 6.29967,0.584333,0.3858,0.0298667,0.602323, -5.71713
60000,2450,7043750000,0,14453,0.387167,0.591633,0.0212,0.395552, 5.35,0.581667,0.385633,0.0327,0.60133, -5.89007
61000,2455,7058125000,0,12702,0.386667,0.593,0.0203333,0.394692, 5.5731,0.583833,0.384967,0.0312,0.602636, -5.2887
62000,2459,7069625000,0,17730,0.3884,0.5896,0.022,0.397137, 5.49523,0.582033,0.384767,0.0332,0.60202, -5.37287
63000,2468,7095500000,0,15963,0.388867,0.592033,0.0191,0.396439, 5.10983,0.583667,0.387333,0.029,0.601099, -5.64363
64000,2469,7098375000,0,15624,0.389267,0.588767,0.0219667,0.39801, 5.5995,0.5813,0.3846,0.0341,0.601822, -5.4339
65000,2479,7127125000,0,15703,0.3884,0.5912,0.0204,0.396488, 5.38133,0.5833,0.3856,0.0311,0.602023, -5.80603
66000,2484,7141500000,0,15884,0.387067,0.5923,0.0206333,0.395221, 5.56117,0.586633,0.380733,0.0326333,0.606423, -5.09187
67000,2490,7158750000,0,15831,0.384933,0.5918,0.0232667,0.394103, 5.24387,0.581533,0.3855,0.0329667,0.601358, -4.949
68000,2498,7181750000,0,15679,0.390933,0.587733,0.0213333,0.399455, 5.7141,0.5784,0.3899,0.0317,0.597336, -5.6856
69000,2502,7193250000,0,16321,0.390533,0.588567,0.0209,0.39887, 6.22637,0.577733,0.391167,0.0311,0.596278, -6.0402
