BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 } trainIterations = 1000, maxIterations = 100000, playIterations = 30000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
1000,767,1374464,0,1797,0.187667,0.8044,0.00793333,0.189167, -0.284633,0.598533,0.376533,0.0249333,0.613838, -0.5214
2000,1039,1861888,0,1650,0.2389,0.749833,0.0112667,0.241622, -0.097,0.6171,0.355667,0.0272333,0.634376, -0.405867
3000,1182,2118144,0,1636,0.291767,0.6932,0.0150333,0.29622, 0.0382667,0.611633,0.359933,0.0284333,0.629533, -0.366367
4000,1301,2331392,0,1657,0.2972,0.6864,0.0164,0.302155, 0.0678667,0.613,0.356333,0.0306667,0.632393, -0.343167
5000,1378,2469376,0,1944,0.313767,0.6694,0.0168333,0.319139, 0.123167,0.617433,0.3523,0.0302667,0.636704, -0.313967
6000,1467,2628864,0,1775,0.319567,0.662467,0.0179667,0.325413, 0.1787,0.614,0.355867,0.0301333,0.633077, -0.348433
7000,1539,2757888,0,1646,0.328667,0.6537,0.0176333,0.334566, 0.2119,0.611967,0.357933,0.0301,0.630958, -0.3234
8000,1600,2867200,0,1666,0.3303,0.650267,0.0194333,0.336846, 0.193067,0.6093,0.3581,0.0326,0.629833, -0.330767
9000,1661,2976512,0,1633,0.337967,0.643933,0.0181,0.344197, 0.2479,0.607167,0.362367,0.0304667,0.626246, -0.345267
10000,1692,3032064,0,1682,0.3418,0.6397,0.0185,0.348242, 0.2336,0.610067,0.3597,0.0302333,0.629086, -0.3127
11000,1738,3114496,0,1641,0.343533,0.636,0.0204667,0.350711, 0.236867,0.610233,0.3575,0.0322667,0.63058, -0.314667
12000,1780,3189760,0,1643,0.3427,0.6372,0.0201,0.34973, 0.2617,0.609933,0.358033,0.0320333,0.630118, -0.318433
13000,1803,3230976,0,1864,0.346033,0.634033,0.0199333,0.353071, 0.265733,0.610167,0.357267,0.0325667,0.630707, -0.3117
14000,1833,3284736,0,1765,0.348467,0.631067,0.0204667,0.355748, 0.254467,0.612033,0.356533,0.0314333,0.631896, -0.323367
15000,1864,3340288,0,1668,0.3502,0.629,0.0208,0.357639, 0.249733,0.6137,0.354033,0.0322667,0.634162, -0.297433
16000,1892,3390464,0,1679,0.3449,0.6353,0.0198,0.351867, 0.289267,0.608733,0.360533,0.0307333,0.628035, -0.320867
17000,1921,3442432,0,1749,0.343533,0.6341,0.0223667,0.351393, 0.2742,0.613033,0.353833,0.0331333,0.634041, -0.300133
18000,1950,3494400,0,1641,0.342733,0.6359,0.0213667,0.350216, 0.269233,0.611567,0.3561,0.0323333,0.632001, -0.304867
19000,1970,3530240,0,1706,0.344167,0.635867,0.0199667,0.351179, 0.2561,0.615,0.3541,0.0309,0.634609, -0.291367
20000,1993,3571456,0,1689,0.3451,0.635033,0.0198667,0.352095, 0.266,0.6035,0.3651,0.0314,0.623064, -0.3545
21000,2015,3610880,0,2264,0.345833,0.6337,0.0204667,0.353059, 0.277667,0.614833,0.353133,0.0320333,0.63518, -0.315767
22000,2035,3646720,0,2246,0.342067,0.6381,0.0198333,0.348988, 0.2604,0.606633,0.3611,0.0322667,0.62686, -0.3289
23000,2054,3680768,0,2249,0.344533,0.6359,0.0195667,0.351409, 0.256333,0.609933,0.358267,0.0318,0.629966, -0.325833
24000,2068,3705856,0,2171,0.3525,0.626767,0.0207333,0.359963, 0.283333,0.608433,0.3584,0.0331667,0.629305, -0.304767
25000,2081,3729152,0,2111,0.347767,0.631633,0.0206,0.355081, 0.2742,0.6118,0.355967,0.0322333,0.632177, -0.319533
26000,2102,3766784,0,2145,0.3479,0.630867,0.0212333,0.355447, 0.260333,0.608233,0.3602,0.0315667,0.628059, -0.325467
27000,2121,3800832,0,2122,0.350567,0.6291,0.0203333,0.357843, 0.279333,0.609433,0.3588,0.0317667,0.629428, -0.3138
28000,2134,3824128,0,1763,0.3481,0.6313,0.0206,0.355422, 0.284133,0.6078,0.3604,0.0318,0.627763, -0.3161
29000,2145,3843840,0,1648,0.349,0.630033,0.0209667,0.356474, 0.293967,0.6053,0.361967,0.0327333,0.625784, -0.337867
30000,2161,3872512,0,1650,0.3551,0.623833,0.0210667,0.362742, 0.3141,0.607633,0.359833,0.0325333,0.628066, -0.318167
31000,2173,3894016,0,1656,0.3507,0.627833,0.0214667,0.358394, 0.298233,0.604933,0.362567,0.0325,0.625254, -0.349767
32000,2192,3928064,0,1652,0.350933,0.626,0.0230667,0.359219, 0.292567,0.610633,0.3539,0.0354667,0.633087, -0.2965
33000,2201,3944192,0,1632,0.3541,0.624267,0.0216333,0.36193, 0.2884,0.6086,0.359133,0.0322667,0.628892, -0.312733
34000,2209,3958528,0,1670,0.3522,0.626367,0.0214333,0.359914, 0.3045,0.608433,0.3584,0.0331667,0.629305, -0.3244
35000,2219,3976448,0,1927,0.350533,0.627567,0.0219,0.358382, 0.3176,0.609867,0.356933,0.0332,0.63081, -0.310233
36000,2231,3997952,0,1765,0.354767,0.6234,0.0218333,0.362685, 0.313267,0.609733,0.3583,0.0319667,0.629868, -0.307767
37000,2244,4021248,0,1650,0.3495,0.6307,0.0198,0.35656, 0.3081,0.614867,0.3546,0.0305333,0.634232, -0.2917
38000,2254,4039168,0,1650,0.352567,0.626367,0.0210667,0.360154, 0.3095,0.6091,0.358733,0.0321667,0.629344, -0.317467
39000,2267,4062464,0,1621,0.3496,0.6293,0.0211,0.357136, 0.287567,0.609433,0.3579,0.0326667,0.630014, -0.327967
40000,2271,4069632,0,1656,0.350867,0.628867,0.0202667,0.358125, 0.2817,0.609467,0.359067,0.0314667,0.629268, -0.315833
41000,2279,4083968,0,1643,0.346633,0.632767,0.0206,0.353924, 0.281467,0.610067,0.359167,0.0307667,0.629432, -0.309933
42000,2283,4091136,0,1675,0.347267,0.631467,0.0212667,0.354812, 0.254967,0.612067,0.3556,0.0323333,0.632518, -0.2953
43000,2293,4109056,0,2180,0.355633,0.623,0.0213667,0.363398, 0.2978,0.6098,0.3568,0.0334,0.630871, -0.2988
44000,2299,4119808,0,1726,0.355733,0.621233,0.0230333,0.36412, 0.3097,0.608367,0.357867,0.0337667,0.629627, -0.315833
45000,2304,4128768,0,1639,0.352567,0.624867,0.0225667,0.360707, 0.277533,0.610433,0.355367,0.0342,0.632049, -0.300267
46000,2314,4146688,0,1655,0.353833,0.626367,0.0198,0.360981, 0.289167,0.613267,0.354267,0.0324667,0.633846, -0.295833
47000,2322,4161024,0,1639,0.355733,0.6229,0.0213667,0.3635, 0.305567,0.6064,0.360933,0.0326667,0.626878, -0.3313
48000,2330,4175360,0,1645,0.357167,0.6211,0.0217333,0.365102, 0.341133,0.607033,0.3596,0.0333667,0.627987, -0.3392
49000,2336,4186112,0,1641,0.360367,0.619433,0.0202,0.367796, 0.357567,0.6027,0.3663,0.031,0.621981, -0.3747
50000,2344,4200448,0,1649,0.3545,0.623667,0.0218333,0.362413, 0.308367,0.611067,0.355367,0.0335667,0.632291, -0.3001
51000,2351,4212992,0,2128,0.353333,0.6256,0.0210667,0.360937, 0.300633,0.606467,0.361667,0.0318667,0.626429, -0.331
52000,2360,4229120,0,2162,0.354,0.6242,0.0218,0.361889, 0.3097,0.609733,0.358567,0.0317,0.629695, -0.328633
53000,2369,4245248,0,2190,0.352167,0.627433,0.0204,0.3595, 0.2953,0.6051,0.3629,0.032,0.625103, -0.348033
54000,2378,4261376,0,1760,0.361033,0.617867,0.0211,0.368815, 0.3314,0.6057,0.3621,0.0322,0.625852, -0.338967
55000,2384,4272128,0,1644,0.3605,0.618667,0.0208333,0.36817, 0.331567,0.6083,0.359367,0.0323333,0.628626, -0.3301
56000,2395,4291840,0,1657,0.356833,0.6232,0.0199667,0.364103, 0.297433,0.6156,0.3537,0.0307,0.635098, -0.279767
57000,2400,4300800,0,1655,0.352,0.6243,0.0237,0.360545, 0.305967,0.6136,0.351467,0.0349333,0.635811, -0.289133
58000,2413,4324096,0,1634,0.355967,0.623867,0.0201667,0.363293, 0.317133,0.610533,0.357633,0.0318333,0.630608, -0.3347
59000,2421,4338432,0,1655,0.351,0.6273,0.0217,0.358786, 0.2913,0.610633,0.355433,0.0339333,0.632082, -0.292033
60000,2425,4345600,0,1641,0.353933,0.623433,0.0226333,0.36213, 0.320733,0.608333,0.357633,0.0340333,0.629766, -0.329367
61000,2435,4363520,0,2203,0.350267,0.627367,0.0223667,0.35828, 0.287933,0.605567,0.361767,0.0326667,0.626017, -0.3358
62000,2438,4368896,0,1768,0.351633,0.627333,0.0210333,0.359188, 0.287967,0.6078,0.359467,0.0327333,0.628369, -0.307033
63000,2439,4370688,0,1657,0.355033,0.623,0.0219667,0.363007, 0.3192,0.6104,0.356133,0.0334667,0.631535, -0.326833
64000,2444,4379648,0,1662,0.351867,0.626533,0.0216,0.359635, 0.290233,0.609833,0.357467,0.0327,0.630449, -0.3106
65000,2451,4392192,0,1657,0.3522,0.625167,0.0226333,0.360356, 0.290767,0.608367,0.357233,0.0344,0.63004, -0.297967
66000,2457,4402944,0,1643,0.3572,0.622033,0.0207667,0.364775, 0.3112,0.610067,0.3584,0.0315333,0.62993, -0.324933
67000,2461,4410112,0,1651,0.355033,0.623567,0.0214,0.362797, 0.306833,0.606867,0.361,0.0321333,0.627015, -0.3337
68000,2464,4415488,0,1646,0.357867,0.620133,0.022,0.365917, 0.309233,0.606767,0.360633,0.0326,0.627214, -0.3283
69000,2473,4431616,0,2249,0.352467,0.6266,0.0209333,0.360003, 0.292967,0.610733,0.358233,0.0310333,0.630293, -0.301067
70000,2475,4435200,0,2186,0.354333,0.6235,0.0221667,0.362366, 0.296367,0.6027,0.3644,0.0329,0.623203, -0.346967
71000,2479,4442368,0,2197,0.359633,0.619533,0.0208333,0.367285, 0.337167,0.611833,0.357067,0.0311,0.631472, -0.3152
