BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 5 } trainIterations = 1000, maxIterations = 100000, playIterations = 30000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
1000,735,34292160,0,2118,0.205067,0.7879,0.00703333,0.206519, -0.950533,0.607533,0.369167,0.0233,0.622027, -1.86077
2000,1023,47729088,0,2396,0.260067,0.728667,0.0112667,0.26303, -0.455367,0.606633,0.3662,0.0271667,0.623574, -1.65313
3000,1190,55520640,0,2071,0.292067,0.6953,0.0126333,0.295804, -0.105333,0.605167,0.3689,0.0259333,0.621278, -1.46787
4000,1311,61166016,0,2009,0.308767,0.676633,0.0146,0.313341, 0.139733,0.604467,0.3683,0.0272333,0.621389, -1.47473
5000,1404,65505024,0,2020,0.315233,0.670867,0.0139,0.319677, 0.3339,0.605233,0.367833,0.0269333,0.621985, -1.48023
6000,1476,68864256,0,1996,0.321933,0.662167,0.0159,0.327135, 0.527933,0.607867,0.362933,0.0292,0.62615, -1.3359
7000,1559,72736704,0,1943,0.330533,0.6527,0.0167667,0.33617, 0.669267,0.611233,0.358633,0.0301333,0.630224, -1.26747
8000,1626,75862656,0,2119,0.331467,0.650733,0.0178,0.337474, 0.588067,0.606667,0.363067,0.0302667,0.625602, -1.34957
9000,1669,77868864,0,1952,0.3385,0.643433,0.0180667,0.344728, 0.7603,0.6112,0.359233,0.0295667,0.629822, -1.27803
10000,1712,79875072,0,1958,0.3399,0.6424,0.0177,0.346025, 0.819,0.6168,0.353067,0.0301333,0.635964, -1.1344
11000,1743,81321408,0,1973,0.3448,0.638033,0.0171667,0.350822, 0.8524,0.606867,0.3633,0.0298333,0.625528, -1.2602
12000,1782,83140992,0,1952,0.348333,0.6331,0.0185667,0.354923, 0.8878,0.6106,0.3591,0.0303,0.629679, -1.1998
13000,1812,84540672,0,2054,0.352433,0.628733,0.0188333,0.359198, 1.0208,0.6058,0.362233,0.0319667,0.625805, -1.36687
14000,1838,85753728,0,1985,0.3524,0.628033,0.0195667,0.359433, 1.0156,0.605133,0.3644,0.0304667,0.624149, -1.37967
15000,1876,87526656,0,1961,0.353333,0.627667,0.019,0.360177, 1.06817,0.607967,0.361,0.0310333,0.627438, -1.28953
16000,1909,89066304,0,1912,0.350967,0.6311,0.0179333,0.357376, 0.9758,0.6084,0.3621,0.0295,0.626893, -1.25217
17000,1930,90046080,0,2500,0.354733,0.6276,0.0176667,0.361113, 1.04653,0.605933,0.3657,0.0283667,0.623623, -1.38697
18000,1953,91119168,0,2469,0.350333,0.630767,0.0189,0.357082, 0.9839,0.610533,0.360833,0.0286333,0.62853, -1.23397
19000,1972,92005632,0,2504,0.3542,0.6261,0.0197,0.361318, 1.0537,0.6036,0.3657,0.0307,0.622717, -1.35243
20000,1993,92985408,0,2484,0.356167,0.624533,0.0193,0.363176, 1.06783,0.6049,0.364967,0.0301333,0.623694, -1.3244
21000,2018,94151808,0,2461,0.356033,0.625833,0.0181333,0.362609, 1.07397,0.6052,0.364967,0.0298333,0.62381, -1.27463
22000,2033,94851648,0,2031,0.354067,0.6257,0.0202333,0.361379, 1.11203,0.6066,0.362333,0.0310667,0.626049, -1.2495
23000,2048,95551488,0,1925,0.357767,0.624367,0.0178667,0.364275, 1.1202,0.606067,0.364967,0.0289667,0.624146, -1.30887
24000,2066,96391296,0,1941,0.359067,0.6224,0.0185333,0.365847, 1.13817,0.607933,0.362167,0.0299,0.626671, -1.21707
25000,2085,97277760,0,1901,0.357733,0.623167,0.0191,0.364699, 1.14157,0.606833,0.362933,0.0302333,0.625752, -1.23577
26000,2098,97884288,0,1912,0.357267,0.6239,0.0188333,0.364124, 1.10793,0.606767,0.363433,0.0298,0.625404, -1.22553
27000,2114,98630784,0,2067,0.361733,0.6195,0.0187667,0.368652, 1.14243,0.604567,0.3648,0.0306333,0.623672, -1.2604
28000,2121,98957376,0,1919,0.3602,0.619967,0.0198333,0.367489, 1.12663,0.61,0.359633,0.0303667,0.629104, -1.19363
29000,2134,99563904,0,1928,0.3554,0.6243,0.0203,0.362764, 1.0428,0.604033,0.364833,0.0311333,0.623443, -1.31247
30000,2153,100450368,0,1916,0.363067,0.6177,0.0192333,0.370187, 1.22433,0.6018,0.3672,0.031,0.621053, -1.41333
31000,2170,101243520,0,1941,0.358733,0.621233,0.0200333,0.366067, 1.16537,0.605767,0.363267,0.0309667,0.625125, -1.31087
32000,2188,102083328,0,2100,0.357233,0.623867,0.0189,0.364115, 1.15367,0.606133,0.365233,0.0286333,0.624001, -1.3005
