BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 5 10 } trainIterations = 1000, maxIterations = 100000, playIterations = 30000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
1000,725,344473600,0,4865,0.209633,0.782933,0.00743333,0.211203, -1.73737,0.588167,0.388533,0.0233,0.602198, -4.04287
2000,1015,482263040,0,4587,0.2827,0.706233,0.0110667,0.285864, -0.730533,0.588333,0.3866,0.0250667,0.60346, -3.47423
3000,1194,567312384,0,4564,0.307867,0.678667,0.0134667,0.312069, -0.0338667,0.5872,0.385633,0.0271667,0.603598, -3.2341
4000,1314,624328704,0,4439,0.319033,0.666533,0.0144333,0.323705, 0.52,0.587933,0.3851,0.0269667,0.604227, -3.2052
5000,1408,668991488,0,6266,0.327867,0.6578,0.0143333,0.332634, 0.689333,0.590167,0.382233,0.0276,0.606918, -2.8042
6000,1498,711753728,0,6207,0.340367,0.644433,0.0152,0.34562, 1.1655,0.590567,0.3816,0.0278333,0.607475, -2.9665
7000,1580,750714880,0,4478,0.345733,0.638533,0.0157333,0.35126, 1.4833,0.5906,0.381,0.0284,0.607863, -2.93623
8000,1629,773996544,0,4515,0.3483,0.6339,0.0178,0.354612, 1.3107,0.592767,0.3782,0.0290333,0.610491, -2.63577
9000,1673,794902528,0,4491,0.355667,0.627267,0.0170667,0.361842, 1.49477,0.594233,0.377167,0.0286,0.611729, -2.68247
10000,1721,817709056,0,6198,0.3569,0.625467,0.0176333,0.363306, 1.79793,0.5902,0.3799,0.0299,0.608391, -2.84933
11000,1772,841940992,0,6467,0.361667,0.6198,0.0185333,0.368496, 1.74453,0.590833,0.379467,0.0297,0.608918, -2.66923
12000,1809,859521024,0,4469,0.360267,0.621133,0.0186,0.367095, 1.66593,0.589533,0.380867,0.0296,0.607516, -2.62727
13000,1839,873775104,0,4447,0.367233,0.614367,0.0184,0.374117, 2.10023,0.588433,0.3814,0.0301667,0.606737, -2.59687
14000,1864,885653504,0,4507,0.366133,0.615867,0.018,0.372845, 1.93913,0.591,0.3798,0.0292,0.608776, -2.64407
15000,1880,893255680,0,4391,0.3678,0.613833,0.0183667,0.374682, 2.20503,0.585667,0.384033,0.0303,0.603967, -2.879
16000,1909,907034624,0,4536,0.371433,0.610067,0.0185,0.378434, 2.21683,0.588767,0.380667,0.0305667,0.607331, -2.5407
17000,1930,917012480,0,4507,0.377367,0.604167,0.0184667,0.384466, 2.26193,0.584433,0.384733,0.0308333,0.603027, -2.88753
18000,1951,926990336,0,4405,0.37,0.610033,0.0199667,0.377538, 2.2017,0.5858,0.383067,0.0311333,0.604624, -2.75147
19000,1972,936968192,0,4456,0.3737,0.606767,0.0195333,0.381145, 2.2958,0.5859,0.383033,0.0310667,0.604686, -2.6888
20000,1995,947896320,0,4512,0.366067,0.614167,0.0197667,0.373448, 1.85817,0.588867,0.3798,0.0313333,0.607915, -2.53117
21000,2011,955498496,0,6408,0.373333,0.607,0.0196667,0.380823, 2.40877,0.586667,0.3825,0.0308333,0.605331, -2.64777
22000,2028,963575808,0,6194,0.367467,0.613433,0.0191,0.374622, 1.85867,0.5904,0.379567,0.0300333,0.608681, -2.47987
23000,2052,974979072,0,4482,0.376133,0.6043,0.0195667,0.38364, 2.31207,0.5864,0.3821,0.0315,0.605472, -2.74577
24000,2066,981630976,0,5166,0.375633,0.6051,0.0192667,0.383013, 2.2027,0.589133,0.3799,0.0309667,0.60796, -2.57987
25000,2083,989708288,0,5144,0.372633,0.608233,0.0191333,0.379902, 1.99033,0.5889,0.3811,0.03,0.607113, -2.52307
26000,2101,998260736,0,6185,0.378833,0.6015,0.0196667,0.386433, 2.4275,0.588867,0.379933,0.0312,0.607831, -2.5797
27000,2118,1006338048,0,4445,0.3764,0.604267,0.0193333,0.383821, 2.06477,0.591133,0.378433,0.0304333,0.609688, -2.5689
28000,2131,1012514816,0,6309,0.379467,0.6016,0.0189333,0.38679, 2.3199,0.590667,0.380067,0.0292667,0.608475, -2.4561
29000,2141,1017266176,0,4473,0.374033,0.6061,0.0198667,0.381615, 2.43363,0.5872,0.381167,0.0316333,0.606382, -2.637
30000,2156,1024393216,0,4313,0.373833,0.607033,0.0191333,0.381126, 2.30477,0.5899,0.3811,0.029,0.607518, -2.60523
31000,2165,1028669440,0,5030,0.3744,0.607,0.0186,0.381496, 2.21407,0.596567,0.374133,0.0293,0.614574, -2.27033
32000,2171,1031520256,0,5043,0.375233,0.606433,0.0183333,0.382241, 2.28133,0.589,0.382167,0.0288333,0.606487, -2.62233
33000,2185,1038172160,0,6437,0.3759,0.604333,0.0197667,0.38348, 2.35793,0.588333,0.381,0.0306667,0.606946, -2.5768
34000,2202,1046249472,0,4515,0.3803,0.599933,0.0197667,0.387969, 2.34363,0.5875,0.3817,0.0308,0.60617, -2.49347
35000,2218,1053851648,0,4339,0.379833,0.600167,0.02,0.387585, 2.36773,0.582533,0.386633,0.0308333,0.601066, -2.779
36000,2232,1060503552,0,4451,0.3857,0.595367,0.0189333,0.393144, 2.64617,0.582667,0.3867,0.0306333,0.60108, -2.87033
37000,2247,1067630592,0,6124,0.384267,0.596467,0.0192667,0.391816, 2.59353,0.586367,0.383,0.0306333,0.604897, -2.71207
38000,2253,1070481408,0,4455,0.3773,0.6032,0.0195,0.384804, 2.2356,0.588267,0.381167,0.0305667,0.606815, -2.55143
39000,2267,1077133312,0,4481,0.375367,0.605333,0.0193,0.382754, 2.37173,0.585367,0.384733,0.0299,0.603409, -2.79723
40000,2280,1083310080,0,4399,0.3778,0.602433,0.0197667,0.385418, 2.2816,0.594067,0.3762,0.0297333,0.612272, -2.4909
41000,2287,1086636032,0,4347,0.3801,0.599067,0.0208333,0.388187, 2.5549,0.581167,0.3865,0.0323333,0.600586, -2.96397
42000,2295,1090437120,0,4356,0.375267,0.604367,0.0203667,0.383069, 2.20253,0.591033,0.3771,0.0318667,0.610488, -2.5957
43000,2303,1094238208,0,6432,0.377867,0.601333,0.0208,0.385893, 2.3091,0.589033,0.378633,0.0323333,0.608715, -2.48313
44000,2309,1097089024,0,4500,0.375533,0.6037,0.0207667,0.383497, 2.30177,0.584267,0.384133,0.0316,0.603332, -2.57633
45000,2322,1103265792,0,6333,0.382033,0.597467,0.0205,0.390029, 2.4263,0.588133,0.380833,0.0310333,0.60697, -2.68217
46000,2324,1104216064,0,5158,0.377667,0.601833,0.0205,0.385571, 2.1785,0.5901,0.379033,0.0308667,0.608895, -2.5994
47000,2330,1107066880,0,5092,0.378233,0.603133,0.0186333,0.385415, 2.3968,0.587067,0.3834,0.0295333,0.604932, -2.69793
48000,2341,1112293376,0,5113,0.382867,0.596867,0.0202667,0.390787, 2.72083,0.588467,0.380833,0.0307,0.607105, -2.76773
49000,2350,1116569600,0,5070,0.377433,0.601067,0.0215,0.385726, 2.3129,0.587867,0.379267,0.0328667,0.607844, -2.4858
